time of sampling,date of sampling,MN's MAC Address,Temperature and Soil Moisture Readings
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:43:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
